City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Florence,IT,2022-05-26 13:01:57,43.7667,11.25,92.46,49,0,5.01
67,Palana,RU,2022-05-26 13:01:59,59.1167,159.9667,36.66,88,100,3.53
68,Port Keats,AU,2022-05-26 13:02:00,-14.25,129.55,75.24,49,70,1.92
69,Bethel,US,2022-05-26 13:02:01,41.3712,-73.414,61.16,77,100,7.56
70,Gornopravdinsk,RU,2022-05-26 13:02:02,60.05,69.9,80.85,38,44,10.63
71,Kasangulu,CD,2022-05-26 13:02:03,-4.5911,15.1708,78.1,76,99,4.61
72,Yellowknife,CA,2022-05-26 13:01:32,62.456,-114.3525,42.57,56,70,8.01
73,Rio Grande,BR,2022-05-26 13:02:03,-32.035,-52.0986,59.95,90,100,12.55
74,Iranshahr,IR,2022-05-26 13:02:04,27.2025,60.6848,108.68,5,0,12.71
75,Ilulissat,GL,2022-05-26 13:02:04,69.2167,-51.1,44.62,45,20,10.36
76,Mataura,NZ,2022-05-26 13:02:05,-46.1927,168.8643,38.48,97,5,2.04
77,Bang Racham,TH,2022-05-26 13:02:05,14.892,100.3173,87.04,67,18,11.45
78,Matay,EG,2022-05-26 13:02:05,28.419,30.7792,96.13,13,0,21.16
79,Khimki,RU,2022-05-26 13:02:06,55.9017,37.4375,68.05,30,0,8.99
80,Hobart,AU,2022-05-26 13:00:48,-42.8794,147.3294,53.26,89,20,8.05
81,Marzuq,YE,2022-05-26 13:02:06,14.4,46.4667,95.76,13,0,9.04
82,Puri,IN,2022-05-26 13:02:07,19.8,85.85,90.12,83,8,22.59
83,Bathsheba,BB,2022-05-26 13:02:07,13.2167,-59.5167,81.63,73,80,13.82
84,Nishihara,JP,2022-05-26 13:02:07,26.1842,127.7558,69.08,94,75,10.36
85,Bambanglipuro,ID,2022-05-26 13:02:08,-7.95,110.2833,77.94,84,100,4.43
86,Mingshui,CN,2022-05-26 13:02:08,36.7167,117.5,71.33,24,0,9.08
87,Khatanga,RU,2022-05-26 13:02:09,71.9667,102.5,31.77,74,32,8.16
88,Mount Darwin,ZW,2022-05-26 13:02:09,-16.7725,31.5838,82.69,24,0,3.51
89,Nikolskoye,RU,2022-05-26 13:02:09,59.7035,30.7861,53.49,95,100,3.04
90,Tonj,SS,2022-05-26 13:02:13,7.2737,28.6822,90.5,41,95,1.92
91,Ostrovnoy,RU,2022-05-26 13:02:14,68.0531,39.5131,36.21,97,100,16.08
92,Phalaborwa,ZA,2022-05-26 13:02:14,-23.943,31.1411,80.35,33,0,9.8
93,Aden,YE,2022-05-26 13:03:15,12.7794,45.0367,88.0,68,8,7.63
94,Tiksi,RU,2022-05-26 13:03:15,71.6872,128.8694,25.95,90,100,5.28
95,Sakakah,SA,2022-05-26 13:03:15,29.9697,40.2064,94.48,9,0,12.59
96,Ampanihy,MG,2022-05-26 13:03:16,-24.7,44.75,80.78,45,25,11.68
97,Ankazoabo,MG,2022-05-26 13:03:16,-22.2833,44.5167,82.67,31,0,6.42
98,Svetlaya,RU,2022-05-26 13:03:16,46.5389,138.3297,47.7,96,100,0.36
99,Severodvinsk,RU,2022-05-26 13:03:17,64.5635,39.8302,46.51,92,100,6.69
100,Jardim,BR,2022-05-26 13:03:21,-21.4803,-56.1381,74.62,52,100,6.71
101,Qaanaaq,GL,2022-05-26 13:03:22,77.484,-69.3632,24.66,65,12,8.32
102,Maarianhamina,AX,2022-05-26 13:03:22,60.0973,19.9348,57.06,62,0,13.8
103,Porto Nacional,BR,2022-05-26 13:03:22,-10.7081,-48.4172,84.2,49,22,8.99
104,Nouadhibou,MR,2022-05-26 13:03:23,20.931,-17.0347,65.84,88,1,21.56
105,Aklavik,CA,2022-05-26 13:03:23,68.2191,-135.0107,44.04,73,100,3.04
106,Mogadishu,SO,2022-05-26 13:03:23,2.0371,45.3438,82.04,77,100,17.65
107,Aras,ES,2022-05-26 13:03:24,42.5617,-2.356,66.61,49,40,17.27
108,Bambous Virieux,MU,2022-05-26 13:03:24,-20.3428,57.7575,79.05,65,20,5.75
109,Mount Isa,AU,2022-05-26 13:03:24,-20.7333,139.5,60.57,51,0,6.91
110,Kruisfontein,ZA,2022-05-26 13:03:25,-34.0033,24.7314,58.89,86,100,6.78
111,Aykhal,RU,2022-05-26 13:03:25,66.0,111.5,36.09,48,100,16.44
112,Half Moon Bay,US,2022-05-26 13:03:25,37.4636,-122.4286,58.24,91,100,16.11
113,Camopi,GF,2022-05-26 13:03:26,3.1655,-52.3158,80.96,77,82,2.06
114,Deputatskiy,RU,2022-05-26 13:03:26,69.3,139.9,22.12,95,99,3.89
115,Coruripe,BR,2022-05-26 13:03:26,-10.1256,-36.1756,78.39,83,84,16.8
116,Mar Del Plata,AR,2022-05-26 13:03:27,-38.0023,-57.5575,46.94,73,40,5.75
117,Brae,GB,2022-05-26 13:03:27,60.3964,-1.353,49.82,70,94,21.56
118,Lubango,AO,2022-05-26 13:03:28,-14.9172,13.4925,75.96,18,5,4.25
119,Santa Fe,AR,2022-05-26 13:03:28,-31.6333,-60.7,54.01,80,10,5.99
120,Koping,SE,2022-05-26 13:03:28,59.514,15.9926,55.18,65,100,3.83
121,Prince Rupert,CA,2022-05-26 13:01:12,54.3161,-130.3201,46.49,87,100,2.3
122,Hilo,US,2022-05-26 13:00:17,19.7297,-155.09,76.28,95,46,3.0
123,Evensk,RU,2022-05-26 13:03:29,61.95,159.2333,39.99,96,100,4.0
124,Kununurra,AU,2022-05-26 13:03:29,-15.7667,128.7333,67.98,73,11,0.0
125,Fortuna,US,2022-05-26 13:03:30,40.5982,-124.1573,50.94,96,100,0.0
126,Mahebourg,MU,2022-05-26 13:01:56,-20.4081,57.7,79.09,65,20,5.75
127,Nelson Bay,AU,2022-05-26 13:03:30,-32.7167,152.15,60.01,94,5,7.58
128,Vicuna,CL,2022-05-26 13:03:30,-30.0319,-70.7081,42.53,17,100,1.14
129,Port Elizabeth,ZA,2022-05-26 13:03:31,-33.918,25.5701,63.32,85,65,3.0
130,Kapaa,US,2022-05-26 13:03:31,22.0752,-159.319,71.58,90,20,12.66
131,Bismarck,US,2022-05-26 12:58:47,46.8083,-100.7837,56.64,73,0,10.36
