City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
188,Bengkulu,ID,75.92,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
189,Danane,CI,70.39,light rain,7.2596,-8.155,Lmd
190,Rancho Palos Verdes,US,78.04,few clouds,33.7445,-118.387,Terranea Resort
191,Nortelandia,BR,78.12,broken clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
192,Remedios,CU,86.92,broken clouds,22.4947,-79.5458,Hostal Yunai
194,Quatre Cocos,MU,70.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
198,Lompoc,US,77.68,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
200,Batangafo,CF,70.27,moderate rain,7.3008,18.2833,OCHA Office
201,Vao,NC,73.4,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
202,Pochutla,MX,86.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
214,Fairview,US,71.31,scattered clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
216,Gbarnga,LR,71.49,scattered clouds,6.9956,-9.4722,Passion Hotel 2
219,Luwuk,ID,77.09,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
220,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
222,Cortez,US,85.93,clear sky,37.3489,-108.5859,Sand Canyon National 9 Inn
224,Papar,MY,75.2,overcast clouds,5.7333,115.9333,Koposizon Homestay
226,Trairi,BR,77.31,clear sky,-3.2778,-39.2689,janelas do mar
233,Cairns,AU,71.06,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
239,Altagracia De Orituco,VE,79.56,overcast clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
242,Kavaratti,IN,83.12,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
247,Cabo San Lucas,MX,86.61,clear sky,22.8909,-109.9124,Vista Roof Restaurant
248,Faanui,PF,80.98,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
251,Mori,JP,72.45,light rain,34.8333,137.9333,YAMAHA Resort Hotel Katsuragi Kitanomaru
256,Biak,ID,76.41,overcast clouds,-0.9131,122.8766,Penginapan Kim
257,Trinidad,BO,84.18,scattered clouds,-14.8333,-64.9,Hotel Piesta
259,Luanda,AO,71.6,clear sky,-8.8368,13.2343,EPIC SANA Luanda
265,Villa Bruzual,VE,81.86,overcast clouds,9.3328,-69.1208,hotel italia
267,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Beach Rotana
270,Meulaboh,ID,77.18,overcast clouds,4.1363,96.1285,Kost Pria
271,Oranjestad,AW,80.65,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
274,Acopiara,BR,77.2,overcast clouds,-6.0953,-39.4525,Hotel Cantinho do céu
275,Panacan,PH,80.6,overcast clouds,9.2463,118.4082,Mom's Place Resort
276,Mayo,US,72.36,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
287,Sorong,ID,78.19,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
293,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
299,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
301,Benghazi,LY,78.96,clear sky,32.1167,20.0667,Tibesti Hotel
302,La Asuncion,VE,78.69,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
