City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Albany,US,42.6001,-73.9662,73.72,57,95,10.56,overcast clouds
80,Nehe,CN,48.4833,124.8333,61.57,61,15,5.88,few clouds
81,Vestmannaeyjar,IS,63.4427,-20.2734,49.57,69,13,12.12,few clouds
82,Chokurdakh,RU,70.6333,147.9167,27.19,69,13,6.51,few clouds
83,Mar Del Plata,AR,-38.0023,-57.5575,52.09,61,100,1.01,overcast clouds
84,Acapulco,MX,16.8634,-99.8901,85.66,69,91,8.08,overcast clouds
85,Kavieng,PG,-2.5744,150.7967,82.08,67,91,5.17,overcast clouds
86,Vicuna,CL,-30.0319,-70.7081,62.87,47,70,1.3,broken clouds
87,Menongue,AO,-14.6585,17.691,53.87,45,0,3.31,clear sky
88,Klaksvik,FO,62.2266,-6.589,45.52,77,13,11.12,few clouds
89,Torbay,CA,47.6666,-52.7314,40.75,70,11,11.99,few clouds
90,Iqaluit,CA,63.7506,-68.5145,22.73,67,100,6.91,overcast clouds
91,Geraldton,AU,-28.7667,114.6,55.81,82,14,11.5,few clouds
92,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,86,73,10.51,broken clouds
93,Carnarvon,AU,-24.8667,113.6333,70.23,64,100,6.2,overcast clouds
94,Vanimo,PG,-2.6741,141.3028,79.32,81,90,0.11,overcast clouds
95,Nikolskoye,RU,59.7035,30.7861,51.87,99,100,2.48,light rain
96,New Norfolk,AU,-42.7826,147.0587,52.72,79,63,1.01,broken clouds
97,Broome,US,42.2506,-75.833,73.85,67,20,18.41,few clouds
98,San Patricio,US,28.017,-97.5169,95.72,42,0,15.7,clear sky
99,Sitka,US,57.0531,-135.33,58.89,58,40,6.91,scattered clouds
100,Saint-Philippe,RE,-21.3585,55.7679,71.19,77,8,1.25,clear sky
101,Hithadhoo,MV,-0.6,73.0833,83.37,70,5,12.19,clear sky
102,Mataura,NZ,-46.1927,168.8643,36.48,83,2,1.61,clear sky
103,Chifeng,CN,42.2683,118.9636,60.21,36,0,7.2,clear sky
104,Vazante,BR,-17.9869,-46.9078,66.4,60,80,2.68,broken clouds
105,Foshan,CN,23.0268,113.1315,81.95,87,100,2.46,overcast clouds
106,Biltine,TD,14.5333,20.9167,84.88,9,99,9.31,overcast clouds
107,Neyvo-Rudyanka,RU,57.3444,60.1343,44.49,75,100,6.58,overcast clouds
108,Omboue,GA,-1.5746,9.2618,75.18,86,100,3.89,overcast clouds
109,Hermanus,ZA,-34.4187,19.2345,55.8,86,24,9.42,few clouds
110,Sao Filipe,CV,14.8961,-24.4956,72.81,80,37,5.1,scattered clouds
111,Wagar,SD,16.1525,36.2032,90.7,15,0,8.57,clear sky
112,Joensuu,FI,62.6012,29.7632,41.49,93,0,3.44,clear sky
113,Hirara,JP,24.8,125.2833,77.27,100,75,9.22,broken clouds
114,Bluff,NZ,-46.6,168.3333,36.81,84,5,7.61,clear sky
115,Airai,TL,-8.9266,125.4092,57.04,92,97,3.38,overcast clouds
116,Egvekinot,RU,66.3167,-179.1667,36.39,77,98,3.89,overcast clouds
117,Fairbanks,US,64.8378,-147.7164,68.59,37,75,18.41,broken clouds
118,Luoyang,CN,34.6836,112.4536,70.61,39,100,2.28,overcast clouds
119,Georgetown,MY,5.4112,100.3354,80.53,89,20,5.99,few clouds
120,Cintalapa,MX,16.6951,-93.7272,82.78,63,80,8.55,broken clouds
121,Vardo,NO,70.3705,31.1107,40.98,87,40,8.05,scattered clouds
122,Muros,ES,42.7762,-9.0603,62.64,72,53,10.74,broken clouds
123,Christchurch,NZ,-43.5333,172.6333,47.41,93,6,2.3,clear sky
